class,sentence
"access control","Click on Insurance Numbers to see a list of your clinics providers and their default ID numbers"
"access control","-Allows read access to authorized Users only"
"access control","-Passwords can only be changed by the authorized County System Administrator or the associated user"
"access control","- Prevents modifications to the audit records"
"access control","The HCP is presented with a listing of patients for whom they are a DLHCP who need care because of satisfying the one of preceding conditions"
"access control","To do this select from the Providers list on the left the person whos schedule you wish to set up"
"access control",Describe those employees or classes of employees or other persons under the control of the plan sponsor to be given access to the protected health information to be disclosed provided that any employee or person who receives protected health information relating to payment under health care operations of or other matters pertaining to the group health plan in the ordinary course of business must be included in such description"
"access control",Implement administrative physical and technical safeguards that reasonably and appropriately protect the confidentiality integrity and availability of the electronic protected health information that it creates receives maintains or transmits on behalf of the covered entity as required by this subpart"
"access control",Establish who is permitted to use or receive the limited data set and"
"access control",Restrict the access to and use by such employees and other persons described in paragraphof this section to the plan administration functions that the plan sponsor performs for the group health plan and"
"access control",Implement administrative physical and technical safeguards that reasonably and appropriately protect the confidentiality integrity and availability of the electronic protected healthinformation that it creates receives maintains or transmits on behalf of the group health plan"
"access control",A covered entity must make reasonable efforts to limit the access of such persons or classes identified in paragraphof this section to protected health information consistent with paragraphof this section"
"access control",Customer service including the provision of data analyses for policy holders plan sponsors or other customers provided that protected health information is not disclosed to such policy holder plan sponsor or customer"
"access control",If the covered entity provides an accounting for research disclosures in accordance with paragraphof this section and if it is reasonably likely that the protected health information of the individual was disclosed for such research protocol or activity the covered entity shall at the request of the individual assist in contacting the entity that sponsored the research and the researcher"
"access control","the date and time of each of the patients successful authentications"
"access control","who or when accessed the patients demographic information (other then DLHCP)"
"access control","who or when declared or undeclared the patients personal representative"
"access control","who or when marked a lab procedure as completed"
"access control","who or when scheduled an appointment with the patient"
"access control","who or when sent the patient a message"
"access control","A bolded row for showing the message subject the name of sender and timestamp are then visible in the patient or representatives message inbox"
"access control","A bolded row for showing the message subject the name of the sender and timestamp is then visible in the LHCPs message inbox"
"access control","A bolded row for showing the message subject the name of the sender and the timestamp is then visible in the patient or representatives message inbox and a fake email is sent to the patient or representative that indicates that he or she has a new message from an LHCP"
"access control","A covered entity may deny an individual access provided that the individual is given a right to have such denials reviewed as required by paragraph of this section in the following circumstances:"
"access control","A deactivated patient can not be modified or log into the system and can only be reactivated by the administrator"
"access control","A fake email is sent to the LHCP alerting the LHCP that a new message reply has arrived"
"access control","A fake email is sent to the LHCP alerting the user that a new message has arrived"
"access control","A Lab Technician can record the results of a lab procedure"
"access control","A Lab Technician can update the status of a lab procedure as received"
"access control","A Lab Technician can view his or her assigned lab procedures"
"access control","A Lab Technician can view his or her priority queue of lab procedures"
"access control","A LHCP or ER chooses to view an emergency report and provides an MID"
