class,sentence
access control,click add schedule office visit
access control,click edit next transaction edit its contents
access control,click edit enter any information may be incomplete
access control,click find available see list appointment times available for provider for next days
access control,click on persons name edit their contact information click add new enter new contact into your address book
access control,click on name new file view it
access control,click save immunization
access control,click save update status appointment
access control,click save finished
access control,click save
access control,click add pharmacy button enter contact information for your clinics pharmacy
access control,click continue button
access control,clicking save now links selected issue selected encounter
access control,clicking submit produces report for each encounter in date range shows patient demographics insurance information as well as billing codes amounts
access control,cms official named in section successor
access control,conversely inpatient discharged ambulatory teams must be able access patients clinical demographic history
access control,data recipient shall use appropriate safeguards protect iihi from misuse inappropriate disclosure prevent any use disclosure iihi other than as provided in dua as otherwise required law regulation
access control,database restricts access stored procedures authorized accounts only
access control,direct access database tables prohibited
access control,each row in list includes their weight pedometer reading numbers levels recording timestamp reported data patient uap name personal representative name
access control,each row in message inbox outbox includes message subject name either sender only for case inbox recipient only for case outbox timestamp
access control,each associated with only one filter being saved across login sessions applies only saved filter
access control,enter appropriate information click save form return encounter summary page
access control,enter payment amount as before click save
access control,enter payment amount next remaining balance check needs secondary billing
access control,enter your note into text field click save
access control,entering partial value into one more fields clicking search button presents with list all insurance companies matching those parameters
access control,establish implement as needed procedures for obtaining necessary electronic protected health information during emergency
access control,next click on documents see list patient documents have been uploaded
access control,fill in information click save button add new number
access control,for each entry in patients basic health information history hcp presented with automaticallycalculated value bmi in format digits xxxx calculated based on formula weight in pounds height in inches height in inches
access control,for example selecting detailed from established patient dropdown adds associated cpt code list
access control,hcps return office visit modify delete fields office visit
access control,report daily height in format digits xxxx with units feet daily weight in format digits x with units lbs possibly possibly pedometer readings in format up digits integer with units footsteps
access control,report blood pressure systolic diastolic possibly possibly glucose levelsfor patient
access control,select patient then enter data
access control,presented with list patients for which allowed report measurements
access control,presented with list patients whose at least one physiologic data type specified be under monitoring for which allowed report measurements
access control,presented with list patients whose at least one physiologic data type specified be under monitoring for allowed report measurements
access control,presented with list patients whose height weight pedometer data type specified be under monitoring for which allowed report measurements
